nummer,actie,resultaat,reactietijd_ms,response
1,aan,succes,29.93,[{'success': {'/lights/1/state/on': True}}]
2,uit,succes,74.07,[{'success': {'/lights/1/state/on': False}}]
3,aan,succes,40.16,[{'success': {'/lights/1/state/on': True}}]
4,uit,succes,64.29,[{'success': {'/lights/1/state/on': False}}]
5,aan,succes,66.99,[{'success': {'/lights/1/state/on': True}}]
6,uit,succes,50.76,[{'success': {'/lights/1/state/on': False}}]
7,aan,succes,63.44,[{'success': {'/lights/1/state/on': True}}]
8,uit,succes,56.08,[{'success': {'/lights/1/state/on': False}}]
9,aan,succes,62.0,[{'success': {'/lights/1/state/on': True}}]
10,uit,succes,56.57,[{'success': {'/lights/1/state/on': False}}]
11,aan,succes,70.85,[{'success': {'/lights/1/state/on': True}}]
12,uit,succes,53.76,[{'success': {'/lights/1/state/on': False}}]
13,aan,succes,47.24,[{'success': {'/lights/1/state/on': True}}]
14,uit,succes,45.11,[{'success': {'/lights/1/state/on': False}}]
15,aan,succes,73.15,[{'success': {'/lights/1/state/on': True}}]
16,uit,succes,59.08,[{'success': {'/lights/1/state/on': False}}]
17,aan,succes,52.69,[{'success': {'/lights/1/state/on': True}}]
18,uit,succes,58.83,[{'success': {'/lights/1/state/on': False}}]
19,aan,succes,68.44,[{'success': {'/lights/1/state/on': True}}]
20,uit,succes,47.07,[{'success': {'/lights/1/state/on': False}}]
21,aan,succes,58.49,[{'success': {'/lights/1/state/on': True}}]
22,uit,succes,48.65,[{'success': {'/lights/1/state/on': False}}]
23,aan,succes,49.31,[{'success': {'/lights/1/state/on': True}}]
24,uit,succes,51.11,[{'success': {'/lights/1/state/on': False}}]
25,aan,succes,57.0,[{'success': {'/lights/1/state/on': True}}]
26,uit,succes,30.26,[{'success': {'/lights/1/state/on': False}}]
27,aan,succes,67.71,[{'success': {'/lights/1/state/on': True}}]
28,uit,succes,44.0,[{'success': {'/lights/1/state/on': False}}]
29,aan,succes,50.1,[{'success': {'/lights/1/state/on': True}}]
30,uit,succes,56.45,[{'success': {'/lights/1/state/on': False}}]
31,aan,succes,46.76,[{'success': {'/lights/1/state/on': True}}]
32,uit,succes,48.24,[{'success': {'/lights/1/state/on': False}}]
33,aan,succes,59.64,[{'success': {'/lights/1/state/on': True}}]
34,uit,succes,48.45,[{'success': {'/lights/1/state/on': False}}]
35,aan,succes,51.78,[{'success': {'/lights/1/state/on': True}}]
36,uit,succes,58.26,[{'success': {'/lights/1/state/on': False}}]
37,aan,succes,55.93,[{'success': {'/lights/1/state/on': True}}]
38,uit,succes,70.11,[{'success': {'/lights/1/state/on': False}}]
39,aan,succes,73.33,[{'success': {'/lights/1/state/on': True}}]
40,uit,succes,42.96,[{'success': {'/lights/1/state/on': False}}]
41,aan,succes,59.21,[{'success': {'/lights/1/state/on': True}}]
42,uit,succes,72.81,[{'success': {'/lights/1/state/on': False}}]
43,aan,succes,56.51,[{'success': {'/lights/1/state/on': True}}]
44,uit,succes,56.05,[{'success': {'/lights/1/state/on': False}}]
45,aan,succes,45.04,[{'success': {'/lights/1/state/on': True}}]
46,uit,succes,45.01,[{'success': {'/lights/1/state/on': False}}]
47,aan,succes,54.44,[{'success': {'/lights/1/state/on': True}}]
48,uit,succes,59.64,[{'success': {'/lights/1/state/on': False}}]
49,aan,succes,50.93,[{'success': {'/lights/1/state/on': True}}]
50,uit,succes,54.81,[{'success': {'/lights/1/state/on': False}}]
51,aan,succes,67.01,[{'success': {'/lights/1/state/on': True}}]
52,uit,succes,69.24,[{'success': {'/lights/1/state/on': False}}]
53,aan,succes,70.19,[{'success': {'/lights/1/state/on': True}}]
54,uit,succes,52.62,[{'success': {'/lights/1/state/on': False}}]
