nummer,actie,resultaat,reactietijd_ms,response
1,aan,succes,53.46,[{'success': {'/lights/1/state/on': True}}]
2,uit,succes,69.37,[{'success': {'/lights/1/state/on': False}}]
3,aan,succes,45.69,[{'success': {'/lights/1/state/on': True}}]
4,uit,succes,66.25,[{'success': {'/lights/1/state/on': False}}]
5,aan,succes,54.78,[{'success': {'/lights/1/state/on': True}}]
6,uit,succes,67.39,[{'success': {'/lights/1/state/on': False}}]
7,aan,succes,73.84,[{'success': {'/lights/1/state/on': True}}]
8,uit,succes,69.65,[{'success': {'/lights/1/state/on': False}}]
9,aan,succes,67.04,[{'success': {'/lights/1/state/on': True}}]
10,uit,succes,52.47,[{'success': {'/lights/1/state/on': False}}]
11,aan,succes,72.02,[{'success': {'/lights/1/state/on': True}}]
12,uit,succes,71.03,[{'success': {'/lights/1/state/on': False}}]
13,aan,succes,62.59,[{'success': {'/lights/1/state/on': True}}]
14,uit,succes,58.67,[{'success': {'/lights/1/state/on': False}}]
15,aan,succes,55.81,[{'success': {'/lights/1/state/on': True}}]
16,uit,succes,69.88,[{'success': {'/lights/1/state/on': False}}]
17,aan,succes,57.8,[{'success': {'/lights/1/state/on': True}}]
18,uit,succes,71.15,[{'success': {'/lights/1/state/on': False}}]
19,aan,succes,66.44,[{'success': {'/lights/1/state/on': True}}]
20,uit,succes,69.64,[{'success': {'/lights/1/state/on': False}}]
21,aan,succes,67.64,[{'success': {'/lights/1/state/on': True}}]
22,uit,succes,55.64,[{'success': {'/lights/1/state/on': False}}]
23,aan,succes,50.3,[{'success': {'/lights/1/state/on': True}}]
24,uit,succes,59.56,[{'success': {'/lights/1/state/on': False}}]
25,aan,succes,68.28,[{'success': {'/lights/1/state/on': True}}]
26,uit,succes,72.28,[{'success': {'/lights/1/state/on': False}}]
27,aan,succes,67.48,[{'success': {'/lights/1/state/on': True}}]
28,uit,succes,45.78,[{'success': {'/lights/1/state/on': False}}]
29,aan,succes,73.82,[{'success': {'/lights/1/state/on': True}}]
30,uit,succes,69.64,[{'success': {'/lights/1/state/on': False}}]
31,aan,succes,74.53,[{'success': {'/lights/1/state/on': True}}]
32,uit,succes,75.81,[{'success': {'/lights/1/state/on': False}}]
33,aan,succes,65.9,[{'success': {'/lights/1/state/on': True}}]
34,uit,succes,50.24,[{'success': {'/lights/1/state/on': False}}]
35,aan,succes,54.74,[{'success': {'/lights/1/state/on': True}}]
36,uit,succes,45.03,[{'success': {'/lights/1/state/on': False}}]
37,aan,succes,56.7,[{'success': {'/lights/1/state/on': True}}]
38,uit,succes,66.02,[{'success': {'/lights/1/state/on': False}}]
39,aan,succes,39.74,[{'success': {'/lights/1/state/on': True}}]
40,uit,succes,63.14,[{'success': {'/lights/1/state/on': False}}]
41,aan,succes,65.99,[{'success': {'/lights/1/state/on': True}}]
42,uit,succes,55.3,[{'success': {'/lights/1/state/on': False}}]
43,aan,succes,50.68,[{'success': {'/lights/1/state/on': True}}]
44,uit,succes,50.62,[{'success': {'/lights/1/state/on': False}}]
45,aan,succes,46.44,[{'success': {'/lights/1/state/on': True}}]
46,uit,succes,77.61,[{'success': {'/lights/1/state/on': False}}]
47,aan,succes,57.46,[{'success': {'/lights/1/state/on': True}}]
48,uit,succes,69.08,[{'success': {'/lights/1/state/on': False}}]
49,aan,succes,54.24,[{'success': {'/lights/1/state/on': True}}]
50,uit,succes,62.18,[{'success': {'/lights/1/state/on': False}}]
51,aan,succes,56.54,[{'success': {'/lights/1/state/on': True}}]
52,uit,succes,80.42,[{'success': {'/lights/1/state/on': False}}]
53,aan,succes,54.48,[{'success': {'/lights/1/state/on': True}}]
54,uit,succes,67.88,[{'success': {'/lights/1/state/on': False}}]
55,aan,succes,55.41,[{'success': {'/lights/1/state/on': True}}]
56,uit,succes,62.49,[{'success': {'/lights/1/state/on': False}}]
57,aan,succes,76.53,[{'success': {'/lights/1/state/on': True}}]
58,uit,succes,75.2,[{'success': {'/lights/1/state/on': False}}]
59,aan,succes,67.18,[{'success': {'/lights/1/state/on': True}}]
60,uit,succes,59.31,[{'success': {'/lights/1/state/on': False}}]
61,aan,succes,44.27,[{'success': {'/lights/1/state/on': True}}]
62,uit,succes,76.67,[{'success': {'/lights/1/state/on': False}}]
63,aan,succes,60.87,[{'success': {'/lights/1/state/on': True}}]
64,uit,succes,67.19,[{'success': {'/lights/1/state/on': False}}]
65,aan,succes,56.29,[{'success': {'/lights/1/state/on': True}}]
66,uit,succes,61.48,[{'success': {'/lights/1/state/on': False}}]
67,aan,succes,45.7,[{'success': {'/lights/1/state/on': True}}]
68,uit,succes,68.11,[{'success': {'/lights/1/state/on': False}}]
69,aan,succes,74.2,[{'success': {'/lights/1/state/on': True}}]
70,uit,succes,71.16,[{'success': {'/lights/1/state/on': False}}]
71,aan,succes,77.5,[{'success': {'/lights/1/state/on': True}}]
72,uit,succes,46.15,[{'success': {'/lights/1/state/on': False}}]
73,aan,succes,75.92,[{'success': {'/lights/1/state/on': True}}]
74,uit,succes,69.83,[{'success': {'/lights/1/state/on': False}}]
75,aan,succes,63.82,[{'success': {'/lights/1/state/on': True}}]
76,uit,succes,44.03,[{'success': {'/lights/1/state/on': False}}]
77,aan,succes,53.19,[{'success': {'/lights/1/state/on': True}}]
78,uit,succes,64.75,[{'success': {'/lights/1/state/on': False}}]
79,aan,succes,59.82,[{'success': {'/lights/1/state/on': True}}]
80,uit,succes,58.75,[{'success': {'/lights/1/state/on': False}}]
81,aan,succes,67.22,[{'success': {'/lights/1/state/on': True}}]
82,uit,succes,58.85,[{'success': {'/lights/1/state/on': False}}]
83,aan,succes,43.58,[{'success': {'/lights/1/state/on': True}}]
84,uit,succes,64.95,[{'success': {'/lights/1/state/on': False}}]
85,aan,succes,72.62,[{'success': {'/lights/1/state/on': True}}]
86,uit,succes,72.8,[{'success': {'/lights/1/state/on': False}}]
87,aan,succes,70.1,[{'success': {'/lights/1/state/on': True}}]
88,uit,succes,66.17,[{'success': {'/lights/1/state/on': False}}]
89,aan,succes,60.46,[{'success': {'/lights/1/state/on': True}}]
90,uit,succes,49.9,[{'success': {'/lights/1/state/on': False}}]
91,aan,succes,54.8,[{'success': {'/lights/1/state/on': True}}]
92,uit,succes,77.94,[{'success': {'/lights/1/state/on': False}}]
93,aan,succes,79.5,[{'success': {'/lights/1/state/on': True}}]
94,uit,succes,57.01,[{'success': {'/lights/1/state/on': False}}]
95,aan,succes,56.63,[{'success': {'/lights/1/state/on': True}}]
96,uit,succes,51.27,[{'success': {'/lights/1/state/on': False}}]
97,aan,succes,34.97,[{'success': {'/lights/1/state/on': True}}]
98,uit,succes,56.19,[{'success': {'/lights/1/state/on': False}}]
99,aan,succes,67.07,[{'success': {'/lights/1/state/on': True}}]
100,uit,succes,33.19,[{'success': {'/lights/1/state/on': False}}]
101,aan,succes,42.53,[{'success': {'/lights/1/state/on': True}}]
102,uit,succes,57.88,[{'success': {'/lights/1/state/on': False}}]
103,aan,succes,54.25,[{'success': {'/lights/1/state/on': True}}]
104,uit,succes,65.5,[{'success': {'/lights/1/state/on': False}}]
105,aan,succes,39.6,[{'success': {'/lights/1/state/on': True}}]
106,uit,succes,64.54,[{'success': {'/lights/1/state/on': False}}]
107,aan,succes,37.93,[{'success': {'/lights/1/state/on': True}}]
108,uit,succes,58.01,[{'success': {'/lights/1/state/on': False}}]
109,aan,succes,46.1,[{'success': {'/lights/1/state/on': True}}]
110,uit,succes,72.75,[{'success': {'/lights/1/state/on': False}}]
111,aan,succes,52.95,[{'success': {'/lights/1/state/on': True}}]
112,uit,succes,64.28,[{'success': {'/lights/1/state/on': False}}]
113,aan,succes,40.48,[{'success': {'/lights/1/state/on': True}}]
114,uit,succes,64.52,[{'success': {'/lights/1/state/on': False}}]
115,aan,succes,44.53,[{'success': {'/lights/1/state/on': True}}]
116,uit,succes,51.37,[{'success': {'/lights/1/state/on': False}}]
117,aan,succes,64.14,[{'success': {'/lights/1/state/on': True}}]
118,uit,succes,62.77,[{'success': {'/lights/1/state/on': False}}]
119,aan,succes,43.03,[{'success': {'/lights/1/state/on': True}}]
120,uit,succes,53.66,[{'success': {'/lights/1/state/on': False}}]
121,aan,succes,57.5,[{'success': {'/lights/1/state/on': True}}]
122,uit,succes,72.49,[{'success': {'/lights/1/state/on': False}}]
123,aan,succes,40.13,[{'success': {'/lights/1/state/on': True}}]
124,uit,succes,53.7,[{'success': {'/lights/1/state/on': False}}]
125,aan,succes,75.58,[{'success': {'/lights/1/state/on': True}}]
126,uit,succes,63.26,[{'success': {'/lights/1/state/on': False}}]
127,aan,succes,48.83,[{'success': {'/lights/1/state/on': True}}]
128,uit,succes,64.19,[{'success': {'/lights/1/state/on': False}}]
129,aan,succes,40.69,[{'success': {'/lights/1/state/on': True}}]
130,uit,succes,62.06,[{'success': {'/lights/1/state/on': False}}]
131,aan,succes,56.55,[{'success': {'/lights/1/state/on': True}}]
132,uit,succes,61.47,[{'success': {'/lights/1/state/on': False}}]
133,aan,succes,60.89,[{'success': {'/lights/1/state/on': True}}]
134,uit,succes,65.33,[{'success': {'/lights/1/state/on': False}}]
135,aan,succes,73.93,[{'success': {'/lights/1/state/on': True}}]
136,uit,succes,63.85,[{'success': {'/lights/1/state/on': False}}]
137,aan,succes,67.77,[{'success': {'/lights/1/state/on': True}}]
138,uit,succes,48.22,[{'success': {'/lights/1/state/on': False}}]
139,aan,succes,57.7,[{'success': {'/lights/1/state/on': True}}]
140,uit,succes,69.47,[{'success': {'/lights/1/state/on': False}}]
141,aan,succes,61.42,[{'success': {'/lights/1/state/on': True}}]
142,uit,succes,51.34,[{'success': {'/lights/1/state/on': False}}]
143,aan,succes,33.6,[{'success': {'/lights/1/state/on': True}}]
144,uit,succes,40.95,[{'success': {'/lights/1/state/on': False}}]
145,aan,succes,59.31,[{'success': {'/lights/1/state/on': True}}]
146,uit,succes,70.77,[{'success': {'/lights/1/state/on': False}}]
147,aan,succes,40.46,[{'success': {'/lights/1/state/on': True}}]
148,uit,succes,44.97,[{'success': {'/lights/1/state/on': False}}]
149,aan,succes,57.01,[{'success': {'/lights/1/state/on': True}}]
150,uit,succes,67.7,[{'success': {'/lights/1/state/on': False}}]
151,aan,succes,60.13,[{'success': {'/lights/1/state/on': True}}]
152,uit,succes,68.17,[{'success': {'/lights/1/state/on': False}}]
153,aan,succes,58.86,[{'success': {'/lights/1/state/on': True}}]
154,uit,succes,74.65,[{'success': {'/lights/1/state/on': False}}]
155,aan,succes,61.65,[{'success': {'/lights/1/state/on': True}}]
156,uit,succes,74.43,[{'success': {'/lights/1/state/on': False}}]
157,aan,succes,50.8,[{'success': {'/lights/1/state/on': True}}]
158,uit,succes,60.59,[{'success': {'/lights/1/state/on': False}}]
159,aan,succes,54.39,[{'success': {'/lights/1/state/on': True}}]
160,uit,succes,65.01,[{'success': {'/lights/1/state/on': False}}]
161,aan,succes,54.33,[{'success': {'/lights/1/state/on': True}}]
162,uit,succes,61.29,[{'success': {'/lights/1/state/on': False}}]
163,aan,succes,51.64,[{'success': {'/lights/1/state/on': True}}]
164,uit,succes,48.58,[{'success': {'/lights/1/state/on': False}}]
165,aan,succes,59.91,[{'success': {'/lights/1/state/on': True}}]
166,uit,succes,55.92,[{'success': {'/lights/1/state/on': False}}]
167,aan,succes,64.26,[{'success': {'/lights/1/state/on': True}}]
168,uit,succes,62.48,[{'success': {'/lights/1/state/on': False}}]
169,aan,succes,36.55,[{'success': {'/lights/1/state/on': True}}]
170,uit,succes,55.08,[{'success': {'/lights/1/state/on': False}}]
171,aan,succes,40.52,[{'success': {'/lights/1/state/on': True}}]
172,uit,succes,93.16,[{'success': {'/lights/1/state/on': False}}]
173,aan,succes,69.31,[{'success': {'/lights/1/state/on': True}}]
174,uit,succes,68.3,[{'success': {'/lights/1/state/on': False}}]
175,aan,succes,44.95,[{'success': {'/lights/1/state/on': True}}]
176,uit,succes,48.06,[{'success': {'/lights/1/state/on': False}}]
177,aan,succes,57.03,[{'success': {'/lights/1/state/on': True}}]
178,uit,succes,51.26,[{'success': {'/lights/1/state/on': False}}]
